"Category","Product type","SKU","Product description","Size (cm)","Size (inches)","Finish","Paper type","Substrate weight","Product price","Product currency","Source country","Destination country","Shipping method","Shipping price","Plus one shipping price","Shipping currency","Minimum shipping (days)","Maximum shipping (days)","Tracked shipping"
"Prints","Fine Art Prints","GLOBAL-HPR-40X40","Hahnemühle Photo Rag, 100x100 cm / 40x40""",,"40x40""",,"HPR","308gsm","   68.00","USD","US","US","Budget","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X40","Hahnemühle Photo Rag, 100x100 cm / 40x40""",,"40x40""",,"HPR","308gsm","   68.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X40","Hahnemühle Photo Rag, 100x100 cm / 40x40""",,"40x40""",,"HPR","308gsm","   68.00","USD","US","US","Overnight","   34.95","    0.00","USD",1,1,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X40","Hahnemühle Photo Rag, 100x100 cm / 40x40""",,"40x40""",,"HPR","308gsm","   68.00","USD","US","US","Standard","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X48","Hahnemühle Photo Rag, 100x120 cm / 40x48""",,"40x48""",,"HPR","308gsm","   75.00","USD","US","US","Budget","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X48","Hahnemühle Photo Rag, 100x120 cm / 40x48""",,"40x48""",,"HPR","308gsm","   75.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X48","Hahnemühle Photo Rag, 100x120 cm / 40x48""",,"40x48""",,"HPR","308gsm","   75.00","USD","US","US","Overnight","   36.95","    0.00","USD",1,1,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X48","Hahnemühle Photo Rag, 100x120 cm / 40x48""",,"40x48""",,"HPR","308gsm","   75.00","USD","US","US","Standard","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X50","Hahnemühle Photo Rag, 100x127 cm / 40x50""",,"40x50""",,"HPR","308gsm","   82.00","USD","US","US","Budget","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X50","Hahnemühle Photo Rag, 100x127 cm / 40x50""",,"40x50""",,"HPR","308gsm","   82.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X50","Hahnemühle Photo Rag, 100x127 cm / 40x50""",,"40x50""",,"HPR","308gsm","   82.00","USD","US","US","Overnight","   36.95","    0.00","USD",1,1,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X50","Hahnemühle Photo Rag, 100x127 cm / 40x50""",,"40x50""",,"HPR","308gsm","   82.00","USD","US","US","Standard","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X51","Hahnemühle Photo Rag, 100x130 cm / 40x51""",,"40x51""",,"HPR","308gsm","   80.00","USD","US","US","Budget","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X51","Hahnemühle Photo Rag, 100x130 cm / 40x51""",,"40x51""",,"HPR","308gsm","   80.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X51","Hahnemühle Photo Rag, 100x130 cm / 40x51""",,"40x51""",,"HPR","308gsm","   80.00","USD","US","US","Overnight","   36.95","    0.00","USD",1,1,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X51","Hahnemühle Photo Rag, 100x130 cm / 40x51""",,"40x51""",,"HPR","308gsm","   80.00","USD","US","US","Standard","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X52","Hahnemühle Photo Rag, 100x132 cm / 40x52""",,"40x52""",,"HPR","308gsm","   80.00","USD","US","US","Budget","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Fine Art Prints","GLOBAL-HPR-40X52","Hahnemühle Photo Rag, 100x132 cm / 40x52""",,"40x52""",,"HPR","308gsm","   80.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
