"Category","Product type","SKU","Product description","Size (cm)","Size (inches)","Finish","Paper type","Substrate weight","Product price","Product currency","Source country","Destination country","Shipping method","Shipping price","Plus one shipping price","Shipping currency","Minimum shipping (days)","Maximum shipping (days)","Tracked shipping"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-10X20","Photographic Art Print 25x50cm / 10x20""","25x50cm","10x20""",,"LPP","240gsm","   14.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-10X20","Photographic Art Print 25x50cm / 10x20""","25x50cm","10x20""",,"LPP","240gsm","   14.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-10X20","Photographic Art Print 25x50cm / 10x20""","25x50cm","10x20""",,"LPP","240gsm","   14.00","USD","US","US","Overnight","   31.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-10X20","Photographic Art Print 25x50cm / 10x20""","25x50cm","10x20""",,"LPP","240gsm","   14.00","USD","US","US","Standard","    9.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-11X14","Photographic Art Print 28x35.5cm / 11x14""","28x35.5cm","11x14""",,"LPP","240gsm","   14.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-11X14","Photographic Art Print 28x35.5cm / 11x14""","28x35.5cm","11x14""",,"LPP","240gsm","   14.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-11X14","Photographic Art Print 28x35.5cm / 11x14""","28x35.5cm","11x14""",,"LPP","240gsm","   14.00","USD","US","US","Overnight","   31.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-11X14","Photographic Art Print 28x35.5cm / 11x14""","28x35.5cm","11x14""",,"LPP","240gsm","   14.00","USD","US","US","Standard","    8.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-12X12","Photographic Art Print 30x30cm / 12x12""","30x30cm","12x12""",,"LPP","240gsm","   13.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-12X12","Photographic Art Print 30x30cm / 12x12""","30x30cm","12x12""",,"LPP","240gsm","   13.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
